Day,Date,Title,Resources,Checklist,VelogTitle,VelogBody,NotionLink,VelogURL
Day 21,2025.11.05,React + TypeScript 학습 루틴 — Day 21,"- 루틴 소개 – https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 21 — React & TypeScript 실전 루틴,"# 🧠 Day 21 — 학습 주제
> **학습 기간:** 2025.11.05  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 21/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 22 예고
",https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2,
Day 22,2025.11.06,React + TypeScript 학습 루틴 — Day 22,"- 루틴 소개 – https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 22 — React & TypeScript 실전 루틴,"# 🧠 Day 22 — 학습 주제
> **학습 기간:** 2025.11.06  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 22/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 23 예고
",https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2,
Day 23,2025.11.07,React + TypeScript 학습 루틴 — Day 23,"- 루틴 소개 – https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 23 — React & TypeScript 실전 루틴,"# 🧠 Day 23 — 학습 주제
> **학습 기간:** 2025.11.07  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 23/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 24 예고
",https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2,
Day 24,2025.11.08,React + TypeScript 학습 루틴 — Day 24,"- 루틴 소개 – https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 24 — React & TypeScript 실전 루틴,"# 🧠 Day 24 — 학습 주제
> **학습 기간:** 2025.11.08  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 24/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 25 예고
",https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2,
Day 25,2025.11.09,React + TypeScript 학습 루틴 — Day 25,"- 루틴 소개 – https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 25 — React & TypeScript 실전 루틴,"# 🧠 Day 25 — 학습 주제
> **학습 기간:** 2025.11.09  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 25/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 26 예고
",https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2,
Day 26,2025.11.10,React + TypeScript 학습 루틴 — Day 26,"- 루틴 소개 – https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 26 — React & TypeScript 실전 루틴,"# 🧠 Day 26 — 학습 주제
> **학습 기간:** 2025.11.10  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 26/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 27 예고
",https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2,
Day 27,2025.11.11,React + TypeScript 학습 루틴 — Day 27,"- 루틴 소개 – https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 27 — React & TypeScript 실전 루틴,"# 🧠 Day 27 — 학습 주제
> **학습 기간:** 2025.11.11  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 27/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 28 예고
",https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2,
Day 28,2025.11.12,React + TypeScript 학습 루틴 — Day 28,"- 루틴 소개 – https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 28 — React & TypeScript 실전 루틴,"# 🧠 Day 28 — 학습 주제
> **학습 기간:** 2025.11.12  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 28/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 29 예고
",https://www.notion.so/React-Day-15-28-28d811fbadda81168e4bcab7224c83b2,
Day 29,2025.11.13,React + TypeScript 학습 루틴 — Day 29,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 29 — React & TypeScript 실전 루틴,"# 🧠 Day 29 — 학습 주제
> **학습 기간:** 2025.11.13  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 29/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 30 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
Day 30,2025.11.14,React + TypeScript 학습 루틴 — Day 30,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 30 — React & TypeScript 실전 루틴,"# 🧠 Day 30 — 학습 주제
> **학습 기간:** 2025.11.14  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 30/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 31 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
Day 31,2025.11.15,React + TypeScript 학습 루틴 — Day 31,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 31 — React & TypeScript 실전 루틴,"# 🧠 Day 31 — 학습 주제
> **학습 기간:** 2025.11.15  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 31/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 32 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
Day 32,2025.11.16,React + TypeScript 학습 루틴 — Day 32,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 32 — React & TypeScript 실전 루틴,"# 🧠 Day 32 — 학습 주제
> **학습 기간:** 2025.11.16  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 32/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 33 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
Day 33,2025.11.17,React + TypeScript 학습 루틴 — Day 33,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 33 — React & TypeScript 실전 루틴,"# 🧠 Day 33 — 학습 주제
> **학습 기간:** 2025.11.17  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 33/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 34 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
Day 34,2025.11.18,React + TypeScript 학습 루틴 — Day 34,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 34 — React & TypeScript 실전 루틴,"# 🧠 Day 34 — 학습 주제
> **학습 기간:** 2025.11.18  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 34/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 35 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
Day 35,2025.11.19,React + TypeScript 학습 루틴 — Day 35,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 35 — React & TypeScript 실전 루틴,"# 🧠 Day 35 — 학습 주제
> **학습 기간:** 2025.11.19  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 35/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 36 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
Day 36,2025.11.20,React + TypeScript 학습 루틴 — Day 36,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 36 — React & TypeScript 실전 루틴,"# 🧠 Day 36 — 학습 주제
> **학습 기간:** 2025.11.20  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 36/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 37 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
Day 37,2025.11.21,React + TypeScript 학습 루틴 — Day 37,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 37 — React & TypeScript 실전 루틴,"# 🧠 Day 37 — 학습 주제
> **학습 기간:** 2025.11.21  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 37/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 38 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
Day 38,2025.11.22,React + TypeScript 학습 루틴 — Day 38,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 38 — React & TypeScript 실전 루틴,"# 🧠 Day 38 — 학습 주제
> **학습 기간:** 2025.11.22  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 38/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 39 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
Day 39,2025.11.23,React + TypeScript 학습 루틴 — Day 39,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 39 — React & TypeScript 실전 루틴,"# 🧠 Day 39 — 학습 주제
> **학습 기간:** 2025.11.23  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 39/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 40 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
Day 40,2025.11.24,React + TypeScript 학습 루틴 — Day 40,"- 루틴 소개 – https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0
- MDN JavaScript – https://developer.mozilla.org/ko/docs/Web/JavaScript","- [ ] 오늘 목표 달성
- [ ] 실습 코드 기록
- [ ] 회고 작성",🧠 Day 40 — React & TypeScript 실전 루틴,"# 🧠 Day 40 — 학습 주제
> **학습 기간:** 2025.11.24  
> **총 루틴:** React + TypeScript 실전 루틴 (Day 40/84)  
> **소요 시간:** ⏰ 30분 ~ 1시간  

---

## 🎯 오늘의 목표
- 핵심 개념 복습/실습
- 작은 예제 한 개 완성

## 🎥 참고 자료
- 📘 MDN – JavaScript 개요: https://developer.mozilla.org/ko/docs/Web/JavaScript
- 🔗 노션 섹션: https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0

## 💻 실습 코드 (예시)
```ts
function greet(name: string) {
  return `안녕하세요, ${name}!`;
}
console.log(greet(""해림""));
```

## ✅ 체크리스트
- [ ] 개념 설명 가능
- [ ] 예제 코드 작성
- [ ] 회고 작성

## 📝 오늘의 회고
✅ 배운 점: …  
❓ 헷갈린 점: …  
💡 개선 포인트: …  

📌 내일 목표: Day 41 예고
",https://www.notion.so/React-TypeScript-Todo-Day-29-56-28d811fbadda815aa236cb5f70122ca0,
